"cuenca";"sistema_hídrico";"superficie_en_km2";"balance_hídrico_anual_medio_en_mm"
"Cuencas varias de Antartida e Islas del Atlantico Sur, incluidas Malvinas Argentinas";"Antartida e Islas del Atlantico Sur";"332831.73";"194.712.567.525.502"
"Cuenca de la laguna de Llancanelo";"Independientes";"10563.16";"-351.185.250.368.423"
"Cuenca del rio Itiyuro o Carapari";"Independientes";"8127.39";"-436.815.873.914.685"
"Cuencas de rios y arroyos de la meseta patagonica";"Independientes";"247341.32";"-405.258.220.156.117"
"Cuencas varias de la Puna";"Independientes";"88651.08";"-366.635.244.252.222"
"Cuenca de los rios Primero y Segundo";"Mar Chiquita";"30530.68";"-56.980.810.135.769"
"Cuenca de los rios Rosario u Horcones y Urueña";"Mar Chiquita";"19251.11";"-346.689.609.156.466"
"Cuenca del rio Sali-Dulce";"Mar Chiquita";"92808.61";"-288.561.909.595.071"
"Cuenca del rio Quinto y arroyos menores de San Luis";"Pampeano";"34277.16";"-252.429.194.665.702"
"Region lagunera del sudoeste de Buenos Aires";"Pampeano";"30111.59";"-701.612.650.867.637"
"Región sin drenaje superficial de San Luis, Cordoba, La Pampa y Buenos Aires";"Pampeano";"109593.69";"-224.983.102.789.829"
"Cuenca del rio Atuel";"Rio Colorado";"39386.64";"-413.040.072.999.767"
"Cuenca del rio Colorado";"Rio Colorado";"47377.2";"-349.785.509.468.114"
"Cuenca del rio Desaguadero y áreas vecinas sin drenaje definido";"Rio Colorado";"119339.47";"-432.267.649.441.814"
"Cuenca del rio Diamante";"Rio Colorado";"8589.2";"-256.271.578.640.982"
"Cuenca del rio Jachal";"Rio Colorado";"34818.77";"-434.171.441.269.798"
"Cuenca del rio Mendoza";"Rio Colorado";"17864.65";"-439.786.121.635.874"
"Cuenca del rio San Juan";"Rio Colorado";"38692.29";"-45.169.030.386.774"
"Cuenca del rio Tunuyan";"Rio Colorado";"21195.76";"-387.087.169.999.674"
"Cuenca del rio Vinchina - Bermejo";"Rio Colorado";"35692.85";"-571.207.882.376.279"
"Cuenca de arroyos del sudeste de Buenos Aires";"Rio de la Plata y Provincia de Buenos Aires hasta el Rio Colorado";"11967.11";"210.678.869.069.376"
"Cuenca de desagüe al Rio de la Plata hasta el rio Samborombon";"Rio de la Plata y Provincia de Buenos Aires hasta el Rio Colorado";"10896.73";"197.606.391.351.172"
"Cuenca del rio Salado de Buenos Aires";"Rio de la Plata y Provincia de Buenos Aires hasta el Rio Colorado";"88092.82";"194.291.737.845.317"
"Cuencas de arroyos del noreste de Buenos Aires";"Rio de la Plata y Provincia de Buenos Aires hasta el Rio Colorado";"10256.61";"242.434.703.480.114"
"Cuencas y arroyos del sur de Buenos Aires";"Rio de la Plata y Provincia de Buenos Aires hasta el Rio Colorado";"50287.03";"947.133.503.483.776"
"Region de medanos costeros sin drenaje definido del este de Buenos Aires";"Rio de la Plata y Provincia de Buenos Aires hasta el Rio Colorado";"391.68";"893.181.181.741.809"
"Zona de canales al sur del rio Salado de Buenos Aires";"Rio de la Plata y Provincia de Buenos Aires hasta el Rio Colorado";"41085.47";"215.661.433.083.492"
"Cuenca del rio Bermejo Medio e Inferior";"Rio Paraguay";"70603.27";"-274.704.427.189.708"
"Cuenca del rio Bermejo Superior";"Rio Paraguay";"13476.71";"271.175.959.573.018"
"Cuenca del rio San Francisco";"Rio Paraguay";"24913.02";"-68.337.052.087.931"
"Cuenca propia del rio Paraguay en Argentina";"Rio Paraguay";"2303.37";"366.213.593.800.452"
"Parte argentina de la cuenca del rio Pilcomayo";"Rio Paraguay";"30435.46";"-234.768.221.360.725"
"Zona de rios y arroyos en Salta y Formosa afluentes del rio Paraguay";"Rio Paraguay";"47021.56";"-233.517.400.690.731"
"Alta cuenca del rio Juramento";"Rio Parana";"33111.15";"-335.730.680.496.645"
"Cuenca de arroyos de Misiones sbre el rio Parana hasta Posadas";"Rio Parana";"16154.86";"120.911.993.121.895"
"Cuenca de arroyos del sudeste de Santa Fe y norte de Buenos Aires";"Rio Parana";"13568.55";"120.432.982.426.352"
"Cuenca del arroyo Colastine, Corralito y otros";"Rio Parana";"14253.17";"331.529.422.391.565"
"Cuenca del arroyo Saladillo y afluentes menores del rio San Javier";"Rio Parana";"14112.09";"188.103.767.204.356"
"Cuenca del rio Arrecifes";"Rio Parana";"11070.19";"193.044.658.810.407"
"Cuenca del rio Carcaraña";"Rio Parana";"59806.31";"419.445.214.602.718"
"Cuenca del rio Corrientes";"Rio Parana";"27731.79";"505.510.043.813.238"
"Cuenca del rio Feliciano";"Rio Parana";"8425.39";"26.474.198.316.394"
"Cuenca del rio Gualeguay";"Rio Parana";"22270.31";"243.525.614.630.011"
"Cuenca del rio Guayquiraro";"Rio Parana";"9537.48";"341.026.892.442.772"
"Cuenca del rio Nogoya";"Rio Parana";"3847.83";"205.807.235.126.448"
"Cuenca del rio Pasaje o Salado";"Rio Parana";"93507.43";"-25.375.452.419.954"
"Cuenca del rio Santa Lucia";"Rio Parana";"16152.51";"412.780.584.754.665"
"Cuenca propia de los bajos submeridionales";"Rio Parana";"62101.95";"-772.941.343.701.168"
"Cuenca propia del Parana Medio";"Rio Parana";"17769.83";"240.607.407.556.865"
