"cuenca";"sistema_hídrico";"superficie_en_km2";"poblacion";"densidad_hab_km2"
"Cuenca del Rio Negro";"Sistema Rios Patagonicos";"20053";"133785";"7"
"Parte argentina de la cuenca del rio Pilcomayo";"Sistema Rio Paraguay";"30435";"91033";"3"
"Cuenca de desagüe al Rio de la Plata hasta el rio Samborombon";"Sistema Rio De La Plata Y Provincia De Buenos Aires Hasta El Rio Colorado";"10897";"9946598";"913"
"Cuenca de arroyos del sudeste de Santa Fe y norte de Buenos Aires";"Sistema Rio Parana";"13569";"1618517";"119"
"Cuenca propia del Parana Medio";"Sistema Rio Parana";"17770";"636627";"36"
"Cuenca del rio Mocoreta";"Sistema Rio Uruguay";"3694";"44696";"12"
"Cuenca del rio Itiyuro o Carapari";"Sistemas Independientes";"8127";"57065";"7"
"Cuenca de arroyos del sudeste de Buenos Aires";"Sistema Rio De La Plata Y Provincia De Buenos Aires Hasta El Rio Colorado";"11967";"564406";"47"
"Cuencas de arroyos del noreste de Buenos Aires";"Sistema Rio De La Plata Y Provincia De Buenos Aires Hasta El Rio Colorado";"10257";"3762163";"367"
"Cuenca de los rios Primero y Segundo";"Sistema Mar Chiquita";"30531";"2079468";"68"
"Cuenca del arroyo Colastine, Corralito y otros";"Sistema Rio Parana";"14253";"282989";"20"
"Cuenca de la falda oriental de Ambato";"Sistema Serrano";"9408";"240636";"26"
"Delta del Parana";"Sistema Rio Parana";"22677";"928418";"41"
"Cuenca del rio Bermejo Superior";"Sistema Rio Paraguay";"13477";"81980";"6"
"Cuenca del rio Gualeguay";"Sistema Rio Parana";"22270";"335555";"15"
"Cuenca del rio Gualeguaychu";"Sistema Rio Uruguay";"7262";"123824";"17"
"Cuenca de arroyos menores de Entre Rios afluentes del rio Uruguay";"Sistema Rio Uruguay";"9587";"238066";"25"
"Cuenca del rio Arrecifes";"Sistema Rio Parana";"11070";"266957";"24"
"Cuenca del rio Nogoya";"Sistema Rio Parana";"3848";"32811";"9"
"Cuenca del rio San Francisco";"Sistema Rio Paraguay";"24913";"962025";"39"
"Alta cuenca del rio Juramento";"Sistema Rio Parana";"33111";"278665";"8"
"Cuenca del rio Quinto y arroyos menores de San Luis";"Sistema Pampeano";"34277";"323279";"9"
"Cuenca del rio Vinchina - Bermejo";"Sistema Rio Colorado";"35693";"55204";"2"
"Cuenca del rio Carcaraña";"Sistema Rio Parana";"59806";"818358";"14"
"Cuenca del rio Jachal";"Sistema Rio Colorado";"34819";"29926";"1"
"Cuencas de arroyos de Misiones afluentes del rio Uruguay";"Sistema Rio Uruguay";"11814";"293075";"25"
"Cuenca del rio San Juan";"Sistema Rio Colorado";"38692";"607789";"16"
"Cuenca del rio Desaguadero y áreas vecinas sin drenaje definido";"Sistema Rio Colorado";"119339";"434377";"4"
"Cuenca de arroyos de Misiones sbre el rio Parana hasta Posadas";"Sistema Rio Parana";"16155";"710317";"44"
"Cuenca propia del rio Uruguay en Argentina";"Sistema Rio Uruguay";"2976";"47373";"16"
"Cuenca del rio Mendoza";"Sistema Rio Colorado";"17865";"1086348";"61"
"Cuencas y arroyos del sur de Buenos Aires";"Sistema Rio De La Plata Y Provincia De Buenos Aires Hasta El Rio Colorado";"50287";"857864";"17"
"Cuenca del rio Tunuyan";"Sistema Rio Colorado";"21196";"211979";"10"
"Cuenca del rio Diamante";"Sistema Rio Colorado";"8589";"41365";"5"
"Cuenca del rio Atuel";"Sistema Rio Colorado";"39387";"130347";"3"
"Cuenca del arroyo Saladillo y afluentes menores del rio San Javier";"Sistema Rio Parana";"14112";"330837";"23"
